City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.0,75,90,13.8,overcast clouds
165,Dourbali,TD,11.8091,15.8632,85.44,46,91,12.35,overcast clouds
166,Aleksandrov Gay,RU,50.147,48.5704,48.04,74,85,9.91,overcast clouds
167,Raga,SS,8.4596,25.678,74.34,77,100,2.42,overcast clouds
168,Mahebourg,MU,-20.4081,57.7,75.2,100,40,3.44,scattered clouds
169,Golyshmanovo,RU,56.3979,68.3728,56.34,48,100,11.18,overcast clouds
170,Sistranda,NO,63.7256,8.834,42.8,56,75,24.16,broken clouds
171,Shunyi,CN,40.125,116.6453,57.2,41,0,2.24,clear sky
172,Airai,TL,-8.9266,125.4092,64.74,82,100,4.12,overcast clouds
173,Khandyga,RU,62.6667,135.6,43.23,70,100,5.5,overcast clouds
174,Ust-Maya,RU,60.4167,134.5333,44.29,72,100,7.52,overcast clouds
175,Chokurdakh,RU,70.6333,147.9167,31.3,97,100,5.1,overcast clouds
176,Vardo,NO,70.3705,31.1107,32.0,74,75,13.8,broken clouds
177,East London,ZA,-33.0153,27.9116,66.34,59,4,3.42,clear sky
178,Walvis Bay,NA,-22.9575,14.5053,62.6,72,0,1.14,clear sky
179,Havlickuv Brod,CZ,49.6078,15.5807,52.0,100,100,13.0,overcast clouds
180,Houma,US,29.5958,-90.7195,82.0,83,90,12.66,haze
181,Katsuura,JP,35.1333,140.3,69.8,73,75,17.27,broken clouds
182,Kongwa,TZ,-6.2,36.4167,62.58,96,66,3.98,broken clouds
183,Safford,US,32.834,-109.7076,84.2,12,1,4.23,clear sky
184,Yeppoon,AU,-23.1333,150.7333,73.4,78,20,1.14,few clouds
185,Bintulu,MY,3.1667,113.0333,75.2,94,40,6.87,light rain
186,Husavik,IS,66.0449,-17.3389,30.2,74,0,1.14,clear sky
187,Torbay,CA,47.6666,-52.7314,44.6,61,75,8.05,broken clouds
188,Kijang,KR,35.2442,129.2139,64.4,55,0,13.8,clear sky
189,Erzincan,TR,39.75,39.5,53.6,71,75,3.44,broken clouds
190,Cidreira,BR,-30.1811,-50.2056,67.37,93,97,13.38,overcast clouds
191,Dhola,IN,21.8833,71.7833,84.9,48,0,11.16,clear sky
192,Puerto Cabezas,NI,14.0351,-83.3888,84.2,84,40,6.91,scattered clouds
193,Stokmarknes,NO,68.5646,14.9108,39.2,56,75,8.05,broken clouds
194,Kirakira,SB,-10.4544,161.9205,83.97,70,52,4.29,broken clouds
195,Pitimbu,BR,-7.4706,-34.8086,73.4,100,75,3.96,broken clouds
196,Key West,US,24.5557,-81.7826,82.4,78,40,12.66,scattered clouds
197,Bud,US,39.447,-86.1758,57.0,95,100,11.43,overcast clouds
198,Lengshuitan,CN,26.4111,111.5956,67.53,78,100,3.29,overcast clouds
199,Ucluelet,CA,48.9329,-125.5528,57.0,62,20,16.11,few clouds
200,Namatanai,PG,-3.6667,152.4333,85.35,67,28,2.62,scattered clouds
201,Mackay,AU,-21.15,149.2,78.01,83,7,6.91,clear sky
202,Antonina,BR,-25.4286,-48.7119,60.8,77,20,2.3,few clouds
203,Pangnirtung,CA,66.1451,-65.7125,32.0,86,1,11.5,clear sky
204,Yar-Sale,RU,66.8333,70.8333,10.62,99,63,4.36,broken clouds
205,Kapaa,US,22.0752,-159.319,80.6,69,40,12.66,scattered clouds
206,Baoding,CN,38.8511,115.4903,62.35,18,0,13.13,clear sky
207,Tuatapere,NZ,-46.1333,167.6833,55.99,57,11,5.01,few clouds
208,Bani Walid,LY,31.7566,13.9942,65.43,60,90,5.99,overcast clouds
209,Shu,KZ,43.5983,73.7614,59.02,36,6,3.06,clear sky
210,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,82,20,3.44,few clouds
211,Fukue,JP,32.6881,128.8419,60.8,88,75,12.66,broken clouds
212,Clyde River,CA,70.4692,-68.5914,28.4,80,20,18.41,snow
213,Chara,RU,56.9064,118.2631,37.0,85,100,1.1,overcast clouds
214,Padang,ID,-0.9492,100.3543,75.2,94,40,3.44,scattered clouds
215,Dubrovytsya,UA,51.5744,26.565,47.86,70,100,14.43,overcast clouds
216,Komsomolskiy,UZ,40.4272,71.7189,71.6,72,80,2.3,broken clouds
217,Pathein,MM,16.7833,94.7333,81.52,74,1,5.03,clear sky
218,Carlsbad,US,33.1581,-117.3506,75.0,68,1,9.22,clear sky
219,Aykhal,RU,66.0,111.5,31.6,83,54,3.4,broken clouds
220,Jega,NG,12.2175,4.3792,88.41,35,85,10.96,overcast clouds
221,Ugoofaaru,MV,5.6667,73.0,83.79,70,21,0.63,few clouds
222,Provideniya,RU,64.3833,-173.3,30.2,69,0,2.24,clear sky
223,Kodiak,US,57.79,-152.4072,44.6,61,75,16.11,broken clouds
224,Primo Tapia,MX,32.22,-116.9172,73.4,56,1,16.11,clear sky
225,Severo-Kurilsk,RU,50.6789,156.125,35.55,94,67,10.18,broken clouds
226,Quelimane,MZ,-17.8786,36.8883,66.2,94,20,2.93,few clouds
227,Huilong,CN,31.8111,121.655,66.0,81,90,7.72,overcast clouds
228,Niigata,JP,37.9022,139.0236,68.0,42,0,11.5,light rain
229,Guadalupe Victoria,MX,32.2869,-115.105,98.01,10,1,17.07,clear sky
230,Yulara,AU,-25.2406,130.9889,60.8,59,83,11.5,broken clouds
231,Chapais,CA,49.7834,-74.8492,51.8,40,90,8.05,overcast clouds
232,Kouango,CF,4.9934,19.9619,71.37,96,97,3.62,light rain
233,Belgrade,RS,44.804,20.4651,60.8,44,0,4.61,clear sky
234,Vernon,CA,50.2581,-119.2691,68.0,31,92,3.44,overcast clouds
235,Buchanan,LR,5.8808,-10.0467,78.8,94,75,5.26,broken clouds
236,Labuhan,ID,-6.8844,112.2051,80.4,81,97,7.96,overcast clouds
237,Birjand,IR,32.8663,59.2211,48.2,100,20,4.61,few clouds
238,Meadow Lake,US,34.8014,-106.5436,77.0,24,40,4.61,scattered clouds
239,Maasim,PH,5.8575,125.0061,83.5,71,84,14.36,broken clouds
240,Bethel,US,41.3712,-73.414,61.0,85,97,1.01,overcast clouds
241,Berlevag,NO,70.8578,29.0864,33.8,64,75,10.36,broken clouds
242,Goderich,CA,43.7501,-81.7165,42.8,93,100,14.97,overcast clouds
243,Tete,MZ,-16.1564,33.5867,66.0,82,0,3.44,clear sky
244,San Policarpo,PH,12.1791,125.5072,81.79,85,72,14.27,broken clouds
245,Harbour Breton,CA,47.4833,-55.7983,39.22,84,25,7.65,scattered clouds
246,Callaway,US,30.153,-85.5699,80.6,83,1,10.36,clear sky
247,Allonnes,FR,47.9674,0.1581,46.4,76,0,3.44,clear sky
248,Bogande,BF,12.9714,-0.1436,89.38,43,100,17.69,overcast clouds
249,Yushu,CN,44.8,126.5333,54.5,37,13,15.41,few clouds
250,Beitbridge,ZW,-22.2167,30.0,60.67,58,0,1.99,clear sky
251,Esperance,AU,-33.8667,121.9,59.0,94,90,16.11,light rain
252,Westport,US,41.1415,-73.3579,60.01,82,90,9.22,overcast clouds
253,Nitra,SK,48.3076,18.0845,59.0,44,100,6.91,overcast clouds
254,Narsaq,GL,60.9167,-46.05,48.2,23,75,36.82,broken clouds
255,Ilo,PE,-17.6394,-71.3375,67.57,81,100,8.39,overcast clouds
256,Flin Flon,CA,54.7682,-101.865,44.6,33,75,5.75,broken clouds
257,Aksarka,RU,66.5606,67.7975,17.69,95,68,6.06,broken clouds
258,Kamenka,RU,51.3223,42.7678,41.0,75,3,8.79,clear sky
259,Troitskoye,RU,52.9821,84.6757,41.72,67,57,4.7,broken clouds
260,Porto Murtinho,BR,-21.6989,-57.8825,81.34,52,41,3.78,scattered clouds
261,San Cristobal,VE,7.7669,-72.225,82.4,69,40,4.61,scattered clouds
262,Lusambo,CD,-4.9667,23.45,69.78,96,61,1.59,light rain
263,Matara,LK,5.9485,80.5353,76.91,88,97,2.8,overcast clouds
264,Coari,BR,-4.085,-63.1414,73.76,96,61,1.99,broken clouds
265,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,56,90,19.57,overcast clouds
266,Kulhudhuffushi,MV,6.6221,73.07,84.36,71,100,4.16,overcast clouds
267,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,55,20,21.85,few clouds
268,Pafos,CY,34.7667,32.4167,64.0,67,0,3.44,clear sky
269,Dubbo,AU,-32.25,148.6167,57.2,82,90,8.05,overcast clouds
270,Leningradskiy,RU,69.3833,178.4167,25.11,74,14,6.4,few clouds
271,Tshela,CD,-4.9833,12.9333,72.81,99,100,1.19,overcast clouds
272,Ratnagiri,IN,16.9833,73.3,81.43,74,1,2.24,clear sky
273,Thinadhoo,MV,0.5333,72.9333,83.43,68,78,3.13,broken clouds
274,Saint Anthony,US,45.0205,-93.218,59.0,35,40,13.8,scattered clouds
275,Bara,NG,10.3744,10.7288,82.67,54,46,8.95,scattered clouds
276,Slyudyanka,RU,51.6594,103.7061,35.35,90,100,8.93,overcast clouds
277,Jaguaruana,BR,-4.8339,-37.7811,74.37,92,100,5.86,overcast clouds
278,Christiana,ZA,-27.914,25.1611,56.73,46,1,6.2,clear sky
279,Andenes,NO,69.3143,16.1194,37.4,70,90,12.66,overcast clouds
280,Bagdarin,RU,54.4333,113.6,40.48,47,2,5.37,clear sky
281,Polovinnoye,RU,54.7914,65.9864,56.1,53,100,8.95,overcast clouds
282,College,US,64.8569,-147.8028,61.0,29,75,4.61,broken clouds
283,Katangli,RU,51.7102,143.2326,30.25,89,97,7.16,overcast clouds
284,Batticaloa,LK,7.7102,81.6924,79.41,81,97,3.96,overcast clouds
285,Nouadhibou,MR,20.931,-17.0347,66.2,68,0,23.02,sand
286,New Norfolk,AU,-42.7826,147.0587,51.01,82,24,3.47,few clouds
287,Champerico,GT,14.3,-91.9167,73.4,94,90,9.22,overcast clouds
288,Tigil,RU,57.8,158.6667,39.61,51,1,7.0,clear sky
289,Wichita,US,37.6922,-97.3375,66.2,26,1,14.97,clear sky
290,Ojinaga,MX,29.5667,-104.4167,84.2,17,1,0.94,clear sky
291,Vero Beach,US,27.6386,-80.3973,84.2,61,1,18.41,clear sky
292,Bandarbeyla,SO,9.4942,50.8122,83.16,71,89,3.09,overcast clouds
293,Mar Del Plata,AR,-38.0023,-57.5575,54.0,71,20,4.61,few clouds
294,Ouallam,NE,14.3188,2.0866,90.14,6,43,8.25,scattered clouds
295,Dolgoderevenskoye,RU,55.3444,61.3444,55.4,54,0,11.18,clear sky
296,Beringovskiy,RU,63.05,179.3167,28.99,80,97,5.84,overcast clouds
297,Port Lincoln,AU,-34.7333,135.8667,59.83,61,100,13.27,overcast clouds
298,Urubicha,BO,-15.3833,-62.95,74.62,80,23,0.81,few clouds
