City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Touros,BR,75.2,clear sky,-5.1989,-35.4608,INN NEW HORIZON
470,Akyab,MM,79.75,broken clouds,20.15,92.9,Hotel Memory
472,Riohacha,CO,79.59,overcast clouds,11.5444,-72.9072,Hotel Taroa
473,Sola,VU,86.0,scattered clouds,-13.8833,167.55,Leumerus Bungalows
475,Salinopolis,BR,78.22,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
476,La Cruz,MX,81.0,clear sky,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
477,Rosamorada,MX,85.3,clear sky,22.1222,-105.2058,Hotel Gonzalez
478,Salalah,OM,84.2,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
479,Chenzhou,CN,65.12,overcast clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
481,Hambantota,LK,78.62,overcast clouds,6.1241,81.1185,Bungalow 63
484,Sao Felix Do Xingu,BR,73.36,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
486,Mpanda,TZ,65.91,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
493,Vanimo,PG,84.4,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
494,Barreirinha,BR,74.21,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
496,Bol,TD,83.48,clear sky,13.4586,14.7147,Hotel 3 Etoiles
500,Pochutla,MX,86.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
502,Martapura,ID,77.0,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
503,Banjar,ID,75.2,few clouds,-8.19,114.9675,The Hamsa Resort
504,Biltine,TD,86.99,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
506,Kalemie,CD,69.85,light rain,-5.9475,29.1947,Mahobilali
507,Mananara,MG,74.57,light rain,-16.1667,49.7667,Chez Roger
510,Itoman,JP,77.0,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
512,Sumbe,AO,79.23,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
514,Tezu,IN,70.03,overcast clouds,27.9167,96.1667,Circuit House
515,Rosetta,EG,73.4,clear sky,31.4044,30.4164,Green Valley
516,Zaranj,AF,71.19,scattered clouds,30.9667,61.8833,غزنوی هوتل
521,Vung Tau,VN,84.27,overcast clouds,10.346,107.0843,Green hotel
525,Apucarana,BR,78.8,clear sky,-23.5508,-51.4608,Hotel Doral Apucarana
528,Changde,CN,66.61,overcast clouds,29.0464,111.6783,Kangshida Hotel
529,Inongo,CD,71.94,light rain,-1.95,18.2667,Hotel Du Lac
530,Cochabamba,BO,68.0,few clouds,-17.3895,-66.1568,Violetta's Apart Hotel
532,Mount Isa,AU,71.6,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
533,Andrews,US,68.0,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
536,Abdanan,IR,68.13,clear sky,32.9926,47.4198,خدمات موبایل میرزایی
541,Sawakin,SD,82.47,clear sky,19.1059,37.3321,فندق الدويم
544,Berbera,SO,85.48,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
546,San Jose,US,84.99,clear sky,37.3394,-121.895,The Westin San Jose
547,Manbij,SY,66.2,clear sky,36.5281,37.9549,Manbej City Hotel
548,Sao Miguel Do Araguaia,BR,74.73,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
550,Sabang,ID,84.49,overcast clouds,5.8933,95.3214,Hotel Citra
557,Sokoni,TZ,80.53,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
559,Itarema,BR,75.94,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
561,Burlington,US,73.4,clear sky,39.8835,-74.6413,Delanco Camp
563,Saint-Pierre,RE,75.2,heavy intensity rain,-21.3393,55.4781,Lindsey Hôtel
565,Bagamoyo,TZ,71.94,overcast clouds,-6.4333,38.9,Be Swahilid B and B
568,Lamesa,US,68.0,clear sky,32.7376,-101.951,Shiloh Inn Lamesa
573,Iracoubo,GF,77.63,broken clouds,5.4802,-53.2011,Le Gite D Iracoubo
576,Cockburn Town,TC,78.37,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
577,Alibag,IN,84.2,haze,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
578,Yanam,IN,79.59,clear sky,16.7333,82.2167,The Regency Hotel
579,Umm Lajj,SA,85.35,clear sky,25.0213,37.2685,Moon light Furnished Units
580,Almonte,ES,68.0,clear sky,37.2647,-6.5167,Viajes Halcon
582,Dano,BF,84.6,overcast clouds,11.15,-3.0667,Auberge Phenix32-Dano
585,Remanso,BR,80.94,broken clouds,-9.6179,-42.0831,Hotel Mangueira
586,Charo,MX,84.2,clear sky,19.75,-101.05,Finca Pontezuelas
592,Dakar,SN,68.0,clear sky,14.6937,-17.4441,Redface Studios Meublés
593,Male,MV,84.2,broken clouds,4.1748,73.5089,Hotel Octave Maldives
596,Kununurra,AU,75.2,clear sky,-15.7667,128.7333,Hotel Kununurra
597,Saint-Joseph,RE,75.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
602,Tocopilla,CL,67.64,clear sky,-22.092,-70.1979,Hotel Galvarino
604,Kirkuk,IQ,79.66,overcast clouds,35.4681,44.3922,تل عبدالعزيز
609,Gwadar,PK,81.01,scattered clouds,25.1216,62.3254,Sadaf Resort
610,Aquiraz,BR,78.01,light rain,-3.9014,-38.3911,Pousada Rua Camurupim
616,Ramgarh,IN,69.8,haze,23.6333,85.5167,HOTEL TREAT RESIDENCY
